09/02/2022 22:15:02.946 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize | [ashita.logging]
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   level : 5
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   crashdumps : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize | [ashita.taskpool]
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   threadcount : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize | [ashita.resources]
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   offsets.use_overrides : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   pointers.use_overrides : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   resources.use_overrides : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize | [ashita.window.startpos]
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   x : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   y : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize | [ashita.input]
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   gamepad.allowbackground : 0
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   gamepad.disableenumeration : 0
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockinput : 0
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockbindsduringinput : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   keyboard.silentbinds : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   keyboard.windowskeyenabled : 0
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   mouse.blockinput : 0
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   mouse.unhook : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize | [ashita.misc]
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   addons.silent : 0
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   aliases.silent : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   plugins.silent : 0
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize | [ashita.polplugins]
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   sandbox : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   pivot : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize | [sandbox.paths]
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   common : C:\Program Files (x86)\Common Files
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   pol : G:\PlayOnline\SquareEnix\PlayOnlineViewer
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   ffxi : G:\PlayOnline\SquareEnix\Final Fantasy XI
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   tetra : G:\PlayOnline\SquareEnix\TetraMaster
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize | [ffxi.direct3d8]
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbufferformat : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbuffercount : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   presentparams.multisampletype : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   presentparams.swapeffect : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   presentparams.enableautodepthstencil : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   presentparams.autodepthstencilformat : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   presentparams.flags : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_refreshrateinhz : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_presentationinterval : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   behaviorflags.fpu_preserve : 0
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize | [ffxi.registry]
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0000 : 6
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0001 : 1920
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0002 : 1080
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0003 : 4096
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0004 : 4096
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0005 : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0006 : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0007 : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0008 : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0009 : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0010 : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0011 : 2
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0012 : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0013 : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0014 : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0015 : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0016 : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0017 : 0
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0018 : 2
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0019 : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0020 : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0021 : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0022 : 0
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0023 : 0
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0024 : 0
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0025 : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0026 : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0027 : -1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0028 : 0
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0029 : 12
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0030 : 0
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0031 : 1002740646
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0032 : 0
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0033 : 0
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0034 : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0035 : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0036 : 2
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0037 : 1920
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0038 : 1080
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0039 : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0040 : 0
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0041 : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0042 : C:\Program Files (x86)\SquareEnix\FINAL FANTASY XI
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0043 : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0044 : 1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   0045 : 0
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   padmode000 : 1,0,0,0,1,1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize |   padsin000 : 10,8,16,11,13,0,1,3,2,15,-1,-1,-1,-33,-33,32,32,36,36,-35,-35,6,7,5,4,-1,-1
09/02/2022 22:15:02.948 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
09/02/2022 22:15:02.948 | DEBUG    |                             Properties::Properties | .ctor
09/02/2022 22:15:02.948 | DEBUG    |                           ChatManager::ChatManager | .ctor
09/02/2022 22:15:02.948 | DEBUG    |                           FontManager::FontManager | .ctor
09/02/2022 22:15:02.948 | DEBUG    |                             GuiManager::GuiManager | .ctor
09/02/2022 22:15:02.948 | DEBUG    |                         InputManager::InputManager | .ctor
09/02/2022 22:15:02.948 | DEBUG    |                       MemoryManager::MemoryManager | .ctor
09/02/2022 22:15:02.948 | DEBUG    |                       OffsetManager::OffsetManager | .ctor
09/02/2022 22:15:02.948 | DEBUG    |                       PacketManager::PacketManager | .ctor
09/02/2022 22:15:02.948 | DEBUG    |                       PluginManager::PluginManager | .ctor
09/02/2022 22:15:02.948 | DEBUG    |                 PolPluginManager::PolPluginManager | .ctor
09/02/2022 22:15:02.948 | DEBUG    |                     PointerManager::PointerManager | .ctor
09/02/2022 22:15:02.948 | DEBUG    |                 PrimitiveManager::PrimitiveManager | .ctor
09/02/2022 22:15:02.948 | DEBUG    |                   ResourceManager::ResourceManager | .ctor
09/02/2022 22:15:02.948 | DEBUG    |                             Properties::Initialize | <Begin>
09/02/2022 22:15:02.948 | DEBUG    |                             Properties::Initialize | <End> [Status: Ok!]
09/02/2022 22:15:02.948 | DEBUG    |                           InputManager::Initialize | <Begin>
09/02/2022 22:15:02.948 | DEBUG    |                           InputManager::Initialize | <End> [Status: Ok!]
09/02/2022 22:15:02.948 | DEBUG    |                          OffsetManager::Initialize | <Begin>
09/02/2022 22:15:02.948 | DEBUG    |                          OffsetManager::Initialize | <End> [Status: Ok!]
09/02/2022 22:15:02.948 | DEBUG    |                         PointerManager::Initialize | <Begin>
09/02/2022 22:15:02.948 | DEBUG    |                         PointerManager::Initialize | <End> [Status: Ok!]
09/02/2022 22:15:02.948 | DEBUG    |                          MemoryManager::Initialize | <Begin>
09/02/2022 22:15:02.948 | DEBUG    |                             MemoryManager::Release | <Begin>
09/02/2022 22:15:02.948 | DEBUG    |                             MemoryManager::Release | <End> [Status: Ok!]
09/02/2022 22:15:02.948 | DEBUG    |                          MemoryManager::Initialize | <End> [Status: Ok!]
09/02/2022 22:15:02.948 | DEBUG    |                            ChatManager::Initialize | <Begin>
09/02/2022 22:15:02.948 | DEBUG    |                            ChatManager::Initialize | <End> [Status: Ok!]
09/02/2022 22:15:02.948 | DEBUG    |                          PacketManager::Initialize | <Begin>
09/02/2022 22:15:02.948 | DEBUG    |                          PacketManager::Initialize | <End> [Status: Ok!]
09/02/2022 22:15:02.948 | DEBUG    |                          PluginManager::Initialize | <Begin>
09/02/2022 22:15:02.948 | DEBUG    |                          PluginManager::Initialize | <End> [Status: Ok!]
09/02/2022 22:15:02.948 | DEBUG    |                       PolPluginManager::Initialize | <Begin>
09/02/2022 22:15:03.025 | DEBUG    |                 Sandbox::SandboxPlugin::Initialize | Sandbox using the following path for 'Common': C:\Program Files (x86)\Common Files
09/02/2022 22:15:03.025 | DEBUG    |                 Sandbox::SandboxPlugin::Initialize | Sandbox using the following path for 'PlayOnline': G:\PlayOnline\SquareEnix\PlayOnlineViewer
09/02/2022 22:15:03.025 | DEBUG    |                 Sandbox::SandboxPlugin::Initialize | Sandbox using the following path for 'FinalFantasyXI': G:\PlayOnline\SquareEnix\Final Fantasy XI
09/02/2022 22:15:03.025 | DEBUG    |                 Sandbox::SandboxPlugin::Initialize | Sandbox using the following path for 'TetraMaster': G:\PlayOnline\SquareEnix\TetraMaster
09/02/2022 22:15:03.025 | DEBUG    |                             PolPluginManager::Load | Loaded POL plugin: Sandbox - Version: 4.07 - By: atom0s
09/02/2022 22:15:03.128 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\pivot\pivot.ini
09/02/2022 22:15:03.128 | INFO     |                                              pivot | m_logDebug = Discard
09/02/2022 22:15:03.128 | INFO     |                                              pivot | m_rootPath = 'G:\DATs'
09/02/2022 22:15:03.128 | INFO     |                                              pivot | addOverlay: 'XI-View-Icons'
09/02/2022 22:15:03.129 | INFO     |                                              pivot | => success
09/02/2022 22:15:03.129 | INFO     |                                              pivot | addOverlay: 'XI-Vision-Maps'
09/02/2022 22:15:03.129 | WARN     |                                              pivot | WARNING:       12: ignoring 'G:\DATS/XI-VISION-MAPS//ROM/0/12.DAT'
09/02/2022 22:15:03.129 | WARN     |                                              pivot | WARNING:   119051: ignoring 'G:\DATS/XI-VISION-MAPS//ROM/119/51.DAT'
09/02/2022 22:15:03.129 | WARN     |                                              pivot | WARNING:   119057: ignoring 'G:\DATS/XI-VISION-MAPS//ROM/119/57.DAT'
09/02/2022 22:15:03.132 | WARN     |                                              pivot | WARNING:    91015: ignoring 'G:\DATS/XI-VISION-MAPS//ROM/91/15.DAT'
09/02/2022 22:15:03.134 | INFO     |                                              pivot | => success
09/02/2022 22:15:03.134 | INFO     |                                              pivot | addOverlay: 'HD-Texture-Pack'
09/02/2022 22:15:03.136 | INFO     |                                              pivot | => success
09/02/2022 22:15:03.136 | INFO     |                                              pivot | addOverlay: 'HD-Music-Pack'
09/02/2022 22:15:03.136 | INFO     |                                              pivot | => success
09/02/2022 22:15:03.260 | INFO     |                                              pivot | m_hooksSet = true
09/02/2022 22:15:03.260 | DEBUG    |                             PolPluginManager::Load | Loaded POL plugin: pivot - Version: 4.14 - By: Heals
09/02/2022 22:15:03.260 | DEBUG    |                       PolPluginManager::Initialize | <End> [Status: Ok!]
09/02/2022 22:15:03.260 | DEBUG    |                             AshitaCore::Initialize | <End> [Status: Ok!]
09/02/2022 22:15:03.260 | DEBUG    |                    Ashita::Hooks::DirectX::Install | <Begin>
09/02/2022 22:15:03.260 | DEBUG    |                    Ashita::Hooks::DirectX::Install | <End> [Status: Ok!]
09/02/2022 22:15:03.260 | DEBUG    |                      Ashita::Hooks::Mutex::Install | <Begin>
09/02/2022 22:15:03.260 | DEBUG    |                      Ashita::Hooks::Mutex::Install | <End> [Status: Ok!]
09/02/2022 22:15:03.260 | DEBUG    |                   Ashita::Hooks::Registry::Install | <Begin>
09/02/2022 22:15:03.260 | DEBUG    |                   Ashita::Hooks::Registry::Install | <End> [Status: Ok!]
09/02/2022 22:15:03.260 | DEBUG    |                     Ashita::Hooks::Window::Install | <Begin>
09/02/2022 22:15:03.261 | DEBUG    |                     Ashita::Hooks::Window::Install | <End> [Status: Ok!]
09/02/2022 22:15:06.102 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExW | CreateWindowExW - Creating PlayOnline Mask window. [dwExStyle: 8][dwStyle: -2130706432][Pos: -1 x -1][Size: 2561 x 1441]
09/02/2022 22:15:06.104 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExW | CreateWindowExW - Creating PlayOnline window. [dwExStyle: 0][dwStyle: 13238272][Pos: -2147483648 x -2147483648][Size: 662 x 524]
09/02/2022 22:15:06.114 | DEBUG    |    Ashita::Hooks::DirectX::Mine_DirectInput8Create | DirectInput8Create - Creating new DirectInput instance. [dwVersion: 2048]
09/02/2022 22:15:10.588 | DEBUG    |    Ashita::Hooks::DirectX::Mine_DirectInput8Create | DirectInput8Create - Creating new DirectInput instance. [dwVersion: 2048]
09/02/2022 22:16:35.733 | DEBUG    |                                    UninstallAshita | Uninstalling Ashita from the current process. (10652)
09/02/2022 22:16:35.733 | DEBUG    |                                AshitaCore::Release | <Begin>
09/02/2022 22:16:35.733 | DEBUG    |                          PolPluginManager::Release | <Begin>
09/02/2022 22:16:35.733 | DEBUG    |                        PolPluginManager::UnloadAll | Unloading all POL plugins.
09/02/2022 22:16:35.733 | INFO     |                                              pivot | m_hooksSet = false
09/02/2022 22:16:35.733 | DEBUG    |                             PolPluginManager::Tick | Unloaded POL plugin: pivot
09/02/2022 22:16:35.734 | DEBUG    |                             PolPluginManager::Tick | Unloaded POL plugin: Sandbox
09/02/2022 22:16:35.734 | DEBUG    |                          PolPluginManager::Release | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                PolPluginManager::~PolPluginManager | .dtor
09/02/2022 22:16:35.734 | DEBUG    |                             PluginManager::Release | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                           PluginManager::UnloadAll | Unloading all plugins.
09/02/2022 22:16:35.734 | DEBUG    |                             PluginManager::Release | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                      PluginManager::~PluginManager | .dtor
09/02/2022 22:16:35.734 | DEBUG    |                              InputManager::Release | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                              InputManager::Release | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                        InputManager::~InputManager | .dtor
09/02/2022 22:16:35.734 | DEBUG    |                             MemoryManager::Release | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                             MemoryManager::Release | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                      MemoryManager::~MemoryManager | .dtor
09/02/2022 22:16:35.734 | DEBUG    |                            PointerManager::Release | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                            PointerManager::Release | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                    PointerManager::~PointerManager | .dtor
09/02/2022 22:16:35.734 | DEBUG    |                             OffsetManager::Release | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                             OffsetManager::Release | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                      OffsetManager::~OffsetManager | .dtor
09/02/2022 22:16:35.734 | DEBUG    |                             PacketManager::Release | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                             PacketManager::Release | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                      PacketManager::~PacketManager | .dtor
09/02/2022 22:16:35.734 | DEBUG    |                          PrimitiveManager::Release | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                          PrimitiveManager::Release | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                PrimitiveManager::~PrimitiveManager | .dtor
09/02/2022 22:16:35.734 | DEBUG    |                          PrimitiveManager::Release | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                          PrimitiveManager::Release | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                               FontManager::Release | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                               FontManager::Release | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                          FontManager::~FontManager | .dtor
09/02/2022 22:16:35.734 | DEBUG    |                               FontManager::Release | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                               FontManager::Release | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                           ResourceManager::Release | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                           ResourceManager::Release | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                  ResourceManager::~ResourceManager | .dtor
09/02/2022 22:16:35.734 | DEBUG    |                           ResourceManager::Release | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                           ResourceManager::Release | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                                GuiManager::Release | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                                GuiManager::Release | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                            GuiManager::~GuiManager | .dtor
09/02/2022 22:16:35.734 | DEBUG    |                                Properties::Release | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                                Properties::Release | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                            Properties::~Properties | .dtor
09/02/2022 22:16:35.734 | DEBUG    |                               ChatManager::Release | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                               ChatManager::Release | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                          ChatManager::~ChatManager | .dtor
09/02/2022 22:16:35.734 | DEBUG    |                                AshitaCore::Release | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                  Ashita::Hooks::DirectX::Uninstall | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                  Ashita::Hooks::DirectX::Uninstall | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                    Ashita::Hooks::Mutex::Uninstall | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                    Ashita::Hooks::Mutex::Uninstall | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                 Ashita::Hooks::Registry::Uninstall | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                 Ashita::Hooks::Registry::Uninstall | <End> [Status: Ok!]
09/02/2022 22:16:35.734 | DEBUG    |                   Ashita::Hooks::Window::Uninstall | <Begin>
09/02/2022 22:16:35.734 | DEBUG    |                   Ashita::Hooks::Window::Uninstall | <End>
09/02/2022 22:16:35.734 | DEBUG    |                                    UninstallAshita | Finished!
09/02/2022 22:16:35.768 | DEBUG    |                                    UninstallAshita | Uninstalling Ashita from the current process. (10652)
09/02/2022 22:16:35.768 | DEBUG    |                                AshitaCore::Release | <Begin>
09/02/2022 22:16:35.768 | DEBUG    |                                AshitaCore::Release | <End> [Status: Ok!]
09/02/2022 22:16:35.768 | DEBUG    |                  Ashita::Hooks::DirectX::Uninstall | <Begin>
09/02/2022 22:16:35.768 | DEBUG    |                  Ashita::Hooks::DirectX::Uninstall | <End> [Status: Ok!]
09/02/2022 22:16:35.768 | DEBUG    |                    Ashita::Hooks::Mutex::Uninstall | <Begin>
09/02/2022 22:16:35.768 | DEBUG    |                    Ashita::Hooks::Mutex::Uninstall | <End> [Status: Ok!]
09/02/2022 22:16:35.768 | DEBUG    |                 Ashita::Hooks::Registry::Uninstall | <Begin>
09/02/2022 22:16:35.768 | DEBUG    |                 Ashita::Hooks::Registry::Uninstall | <End> [Status: Ok!]
09/02/2022 22:16:35.768 | DEBUG    |                   Ashita::Hooks::Window::Uninstall | <Begin>
09/02/2022 22:16:35.768 | DEBUG    |                   Ashita::Hooks::Window::Uninstall | <End>
09/02/2022 22:16:35.768 | DEBUG    |                                    UninstallAshita | Finished!
